user_id,movie_id,rating
5,334,2.0
5,216,1.0
5,25,4.0
5,457,4.0
5,928,2.0
5,110,3.0
5,1206,3.0
5,412,1.0
5,1259,4.0
5,539,3.0
5,587,3.0
5,1271,3.0
5,1304,4.0
5,380,3.0
5,918,1.0
5,163,2.0
5,1569,4.0
5,667,1.0
5,343,1.0
5,50,3.0
5,788,2.0
5,157,1.0
5,919,4.0
5,222,2.0
5,512,2.0
5,1394,4.0
5,449,1.0
5,21,2.0
5,431,1.0
5,527,3.0
5,1411,5.0
5,1240,4.0
5,555,2.0
5,1204,4.0
5,936,3.0
5,58,2.0
5,955,5.0
5,1035,3.0
5,833,1.0
23,5,4.0
23,55,3.0
23,1057,2.0
23,288,1.0
23,161,4.0
23,305,4.0
23,356,4.0
23,802,3.0
23,62,4.0
23,1358,4.0
23,997,4.0
23,1079,4.0
23,628,4.0
23,32,4.0
27,21,4.0
27,207,5.0
27,371,3.0
27,12,1.0
27,261,4.0
27,60,4.0
27,1012,3.0
27,377,4.0
27,543,1.0
27,104,1.0
27,539,5.0
27,634,1.0
27,288,1.0
27,440,4.0
27,481,2.0
27,415,1.0
27,915,3.0
27,185,3.0
27,282,4.0
27,454,4.0
27,368,4.0
27,2,4.0
27,783,4.0
119,1199,4.0
119,551,4.0
119,969,5.0
119,924,5.0
119,296,5.0
119,317,3.0
119,342,4.0
119,41,4.0
119,383,2.0
119,131,4.0
119,183,3.0
119,778,5.0
119,202,1.0
119,348,4.0
119,437,1.0
119,783,3.0
119,160,2.0
119,552,3.0
119,234,3.0
119,1261,4.0
119,312,3.0
119,1258,5.0
119,273,4.0
119,485,1.0
119,21,4.0
119,431,3.0
119,97,3.0
119,78,5.0
119,272,5.0
119,58,5.0
119,373,5.0
119,372,1.0
119,980,1.0
119,1036,4.0
130,608,5.0
130,144,2.0
130,780,5.0
130,34,4.0
130,339,2.0
130,308,5.0
130,534,2.0
130,783,3.0
130,95,4.0
130,65,1.0
130,648,3.0
130,344,1.0
130,246,3.0
130,105,4.0
160,1288,4.0
160,1210,4.0
160,586,2.0
160,14,4.0
160,1207,4.0
160,371,3.0
160,1193,5.0
160,524,3.0
160,468,4.0
160,337,4.0
160,1353,3.0
160,34,5.0
160,1397,3.0
160,1177,5.0
160,536,3.0
160,505,1.0
160,587,4.0
160,427,1.0
160,1097,4.0
160,1022,4.0
160,266,4.0
160,7,3.0
160,350,4.0
160,125,3.0
162,55,2.0
162,1316,1.0
162,1038,1.0
162,261,2.0
162,162,1.0
162,1366,1.0
162,117,1.0
162,1199,4.0
162,785,1.0
162,297,1.0
162,384,1.0
162,831,1.0
162,892,1.0
162,10,2.0
162,29,3.0
162,153,1.0
162,330,1.0
162,230,1.0
162,197,1.0
162,869,1.0
162,628,1.0
162,7,2.0
162,852,1.0
162,327,1.0
162,1213,5.0
162,1291,2.0
162,1290,1.0
162,1238,2.0
162,591,1.0
162,105,1.0
162,144,1.0
162,149,1.0
162,148,1.0
162,193,1.0
162,672,1.0
162,765,1.0
162,88,1.0
162,179,1.0
162,767,1.0
162,224,1.0
162,498,1.0
162,728,3.0
162,1247,3.0
162,630,1.0
162,75,1.0
162,1041,1.0
162,1244,2.0
162,300,1.0
162,1305,4.0
162,617,1.0
162,140,1.0
162,1276,4.0
162,450,1.0
162,1254,4.0
162,47,2.0
162,555,2.0
162,171,1.0
162,1245,4.0
162,1195,4.0
162,19,1.0
162,103,1.0
162,997,1.0
162,147,1.0
162,865,1.0
162,1047,1.0
162,476,1.0
162,61,1.0
162,100,2.0
162,1191,1.0
162,769,1.0
162,1124,1.0
162,708,1.0
188,204,4.0
188,163,4.0
188,511,4.0
188,119,3.0
188,219,5.0
188,415,4.0
188,234,3.0
188,256,3.0
188,500,5.0
188,203,4.0
188,160,3.0
197,475,4.0
197,371,3.0
197,508,4.0
197,344,2.0
197,412,4.0
197,553,4.0
197,448,3.0
197,515,4.0
197,501,4.0
197,507,4.0
197,490,4.0
197,480,4.0
197,435,1.0
245,1256,5.0
245,198,5.0
245,750,5.0
245,337,4.0
245,519,2.0
245,663,4.0
245,1330,3.0
245,157,3.0
245,858,4.0
245,861,3.0
245,317,3.0
245,316,3.0
245,23,4.0
245,196,4.0
245,585,3.0
245,1091,4.0
245,387,3.0
245,924,3.0
245,543,5.0
245,212,3.0
245,466,5.0
245,370,4.0
245,288,4.0
245,188,3.0
245,1270,5.0
245,551,4.0
254,485,3.0
254,509,5.0
254,2,3.0
254,420,1.0
254,349,4.0
254,592,3.0
254,501,4.0
254,588,4.0
254,500,3.0
254,235,4.0
254,180,3.0
254,527,5.0
254,538,5.0
254,176,4.0
254,1059,2.0
254,778,5.0
264,443,5.0
264,163,4.0
264,410,2.0
264,327,5.0
264,420,1.0
264,21,5.0
264,39,4.0
264,711,1.0
264,440,3.0
264,47,5.0
264,153,3.0
264,292,2.0
305,737,3.0
305,333,1.0
305,761,2.0
305,193,1.0
305,161,4.0
305,153,3.0
305,332,1.0
305,105,4.0
305,2,3.0
305,44,1.0
305,231,1.0
388,349,4.0
388,432,3.0
388,355,1.0
388,333,4.0
388,185,2.0
388,260,5.0
388,454,3.0
